month,number_of_vessels,gross_tonnage,wind_speed_ms
1995-01,8876,58978.63,8.99
1995-02,7593,53786.76,9.63
1995-03,8610,58440.76,6.52
1995-04,8483,59351.66,5.32
1995-05,8749,61696.06,6.08
1995-06,8507,55360.23,6.02
1995-07,8669,61310.53,8.37
1995-08,8498,60099.24,7.69
1995-09,8582,58360.88,7.02
1995-10,9140,60323.65,6.73
1995-11,8788,58842.38,7.76
1995-12,9519,64021.76,9.39
1996-01,9592,62435.31,8.64
1996-02,8687,61216.38,8.86
1996-03,9971,67916.82,7.61
1996-04,9633,63416.76,5.65
1996-05,9836,65486.31,6.23
1996-06,9635,63610.22,6.56
1996-07,10046,64756.1,7.08
1996-08,9888,64188.05,6.43
1996-09,9840,63964.23,7.51
1996-10,10218,63443.46,8.98
1996-11,10083,63469.45,8.05
1996-12,10294,64617.48,8.64
1997-01,10726,66987.03,8.23
1997-02,8945,58575.94,7.60
1997-03,10605,64322.54,6.94
1997-04,10332,66139.2,5.66
1997-05,10861,68990.93,6.04
1997-06,10730,66250.85,7.63
1997-07,11334,70501.76,7.81
1997-08,11169,69369.87,7.96
1997-09,11317,66701.84,6.90
1997-10,11481,72514.76,6.17
1997-11,11075,65783.73,5.44
1997-12,11758,72166.34,6.89
1998-01,11479,75372,7.38
1998-02,10631,67629,7.43
1998-03,11640,70675,7.00
1998-04,11095,67126,6.42
1998-05,11909,72884,5.94
1998-06,11702,70458,5.87
1998-07,11915,73530,6.62
1998-08,12030,71495,6.66
1998-09,11904,70952,6.31
1998-10,12078,73017,8.35
1998-11,12088,69784,8.67
1998-12,12451,74733,7.52
1999-01,12227,77270,7.51
1999-02,10743,65346,7.47
1999-03,12393,75934,6.69
1999-04,11822,73570,6.31
1999-05,12033,75977,5.30
1999-06,11750,71145,6.65
1999-07,12341,73503,7.30
1999-08,12059,72860,6.99
1999-09,11639,72681,6.80
1999-10,11776,75110,9.22
1999-11,11176,70150,7.36
1999-12,11564,73581,9.47
2000-01,11433,76261,8.85
2000-02,10894,69437,7.92
2000-03,12297,73167,6.64
2000-04,12004,76678,6.04
2000-05,12394,78392,5.73
2000-06,12425,74873,6.20
2000-07,12612,78893,7.55
2000-08,12363,76848,6.92
2000-09,11934,75658,6.50
2000-10,12511,80766,7.88
2000-11,12107,73453,6.68
2000-12,12409,75754,6.79
2001-01,12186,79224,7.16
